Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1559088000.0,2019-05-29,BTCUSD,8720.68,8825.36,8490.1,8672.12,3.526,30681.04
1559001600.0,2019-05-28,BTCUSD,8800,8800,8597.7,8720.68,8.399,72977.09
1558915200.0,2019-05-27,BTCUSD,8753.64,8915.17,8612.85,8800,2.608,22883.18
1558828800.0,2019-05-26,BTCUSD,8109.29,8753.64,7950,8753.64,13.12,113387.1
1558742400.0,2019-05-25,BTCUSD,8000.28,8138.61,7912.91,8109.29,0.5369,4323.23
1558656000.0,2019-05-24,BTCUSD,7900.57,8170.14,7845.96,8000.28,1.81,14565.26
1558569600.0,2019-05-23,BTCUSD,7656.8,7932.87,7500,7900.57,5.923,45728.86
1558483200.0,2019-05-22,BTCUSD,8002.49,8040.46,7520.25,7656.8,12.72,99178.06
1558396800.0,2019-05-21,BTCUSD,7941.3,8080.7,7857.7,8002.49,3.052,24352.29
1558310400.0,2019-05-20,BTCUSD,8227.81,8227.81,7703.71,7941.3,11.72,92323.21
1558224000.0,2019-05-19,BTCUSD,7300,8500,7252.68,8227.81,6.442,50788.44
1558137600.0,2019-05-18,BTCUSD,7299.9,7597.15,7196.9,7300,1.665,12209.22
1558051200.0,2019-05-17,BTCUSD,7879.04,7919.7,6842.45,7299.9,20.76,149586.05
1557964800.0,2019-05-16,BTCUSD,8168.82,8345.52,7693.39,7879.04,8.885,70379.76
1557878400.0,2019-05-15,BTCUSD,7950.74,8300,7800.01,8168.82,29.8,238353.46
1557792000.0,2019-05-14,BTCUSD,7756.36,8391.05,7652.74,7950.74,16.46,131681.94
1557705600.0,2019-05-13,BTCUSD,6711,8000,6711,7756.36,12.15,91532.6
1557619200.0,2019-05-12,BTCUSD,7299.99,7499.99,6711,6711,8.444,60484.36
1557532800.0,2019-05-11,BTCUSD,6161.06,7299.99,6161.06,7299.99,4.463,30022.75
1557446400.0,2019-05-10,BTCUSD,6136.5,6378.2,6136.5,6161.06,2.448,15399.43
1557360000.0,2019-05-09,BTCUSD,5978.51,6136.5,5900.03,6136.5,40.76,246024.39
1557273600.0,2019-05-08,BTCUSD,5899.02,5978.51,5801.37,5978.51,0.9913,5837.93
1557187200.0,2019-05-07,BTCUSD,5681.14,6020.56,5681.14,5899.02,18.78,110025.74
1557100800.0,2019-05-06,BTCUSD,5730.3,5779.45,5505.92,5681.14,3.424,19406.05
1557014400.0,2019-05-05,BTCUSD,5779.7,5793.29,5673,5730.3,0.2529,1447.59
1556928000.0,2019-05-04,BTCUSD,5701.72,5779.7,5353.46,5779.7,0.6968,3907.22
1556841600.0,2019-05-03,BTCUSD,5390.24,5758.81,5220.1,5701.72,5.245,29208.4
1556755200.0,2019-05-02,BTCUSD,5294.33,5409.9,5294.33,5390.24,9.531,51245.27
1556668800.0,2019-05-01,BTCUSD,5272.27,5334.44,5270.4,5294.33,0.9328,4959.02
1556582400.0,2019-04-30,BTCUSD,5146.76,5282.3,5106.93,5272.27,0.646,3368.99
1556496000.0,2019-04-29,BTCUSD,5139.63,5190.02,5114.84,5146.76,8.916,45925.78
1556409600.0,2019-04-28,BTCUSD,5201.09,5316.48,5078.15,5139.63,4.519,23511.93
1556323200.0,2019-04-27,BTCUSD,5164.49,5201.09,5110.3,5201.09,0.08907,460.15
1556236800.0,2019-04-26,BTCUSD,5103.64,5425.79,5078.52,5164.49,13.78,71582.67
1556150400.0,2019-04-25,BTCUSD,5388.74,5700,5103.64,5103.64,18.86,100784.12
1556064000.0,2019-04-24,BTCUSD,5554.8,5600,5388.74,5388.74,3.626,19843.17
1555977600.0,2019-04-23,BTCUSD,5329.76,5613.1,5329.76,5554.8,4.032,22184.97
