https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USD
1617494400,2021-04-04,DOT/USD,41.162,44.986,40.482,44.01,3278.314556,144278.62360956
1617408000,2021-04-03,DOT/USD,40.98,47.997,40.437,41.398,14693.573875,608284.5712772501
1617321600,2021-04-02,DOT/USD,37.365,40.862,36.81,40.809,5575.191543,227517.99167828698
1617235200,2021-04-01,DOT/USD,37.193,38.76,35.967,37.371,4740.885874,177171.645997254
1617148800,2021-03-31,DOT/USD,33.926,38.187,33.273,37.22,8398.124046,312578.17699212005
1617062400,2021-03-30,DOT/USD,34.31,34.77,33.535,34.013,2060.605504,70087.375007552
1616976000,2021-03-29,DOT/USD,32.225,34.828,31.816,34.315,8551.70732,293451.83668579994
1616889600,2021-03-28,DOT/USD,32.631,33.41,31.262,32.098,4953.80008,159007.07496784
1616803200,2021-03-27,DOT/USD,33.352,33.675,31.164,32.712,3243.793713,106110.97993965601
1616716800,2021-03-26,DOT/USD,30.277,33.352,30.087,33.346,3430.028136,114377.71822305598
1616630400,2021-03-25,DOT/USD,30.0,37.0,28.511,29.936,8191.251034,245213.290953824
1616544000,2021-03-24,DOT/USD,34.397,36.126,28.0,30.704,6760.758627,207582.332883408
1616457600,2021-03-23,DOT/USD,35.168,36.413,34.04,34.548,6062.691,209453.848668
1616371200,2021-03-22,DOT/USD,36.73,37.792,35.121,35.363,4765.724213,168530.305344319
1616284800,2021-03-21,DOT/USD,37.011,38.111,36.214,37.021,4607.602249,170578.04286022898
1616198400,2021-03-20,DOT/USD,37.998,40.004,37.095,37.095,8179.764303,303428.35681978497
1616112000,2021-03-19,DOT/USD,35.324,38.887,34.78,37.86,4849.95257,183619.2043002
1616025600,2021-03-18,DOT/USD,36.268,36.999,35.363,35.597,3679.550966,130980.97573670199
1615939200,2021-03-17,DOT/USD,35.567,36.461,34.75,35.982,2537.176711,91292.69241520201
1615852800,2021-03-16,DOT/USD,34.868,35.838,32.101,35.578,4220.15373,150144.62940594
1615766400,2021-03-15,DOT/USD,36.557,38.499,33.81,34.286,5257.317485,180252.38729071
1615680000,2021-03-14,DOT/USD,37.38,37.999,36.281,36.757,2943.469665,108193.114476405
1615593600,2021-03-13,DOT/USD,35.89,38.421,34.791,37.403,5068.105343,189562.344144229
1615507200,2021-03-12,DOT/USD,37.038,37.437,34.587,35.886,4834.439791,173488.706339826
1615420800,2021-03-11,DOT/USD,37.762,38.182,36.025,37.033,4765.861218,176494.13848619402
1615334400,2021-03-10,DOT/USD,38.555,39.488,36.162,37.6,5978.505763,224791.81668880003
1615248000,2021-03-09,DOT/USD,34.949,38.899,34.743,38.268,5714.328606,218675.927094408
