https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ETH
1654387200000,2022-06-05 00:00:00,ETH/USDT,1803.9584,1829.7022,1774.4512,1806.1896,1676634.120498944,928.27138441
1654300800000,2022-06-04 00:00:00,ETH/USDT,1775.2178,1813.5525,1749.8826,1803.8866,1555017.3137532764,862.03717781
1654214400000,2022-06-03 00:00:00,ETH/USDT,1834.5907,1842.5651,1738.9301,1775.6425,2093515.2421975008,1179.01843541
1654128000000,2022-06-02 00:00:00,ETH/USDT,1819.8919,1850.4673,1784.0,1834.4555,2168572.4710084135,1182.1341379
1654041600000,2022-06-01 00:00:00,ETH/USDT,1941.2364,1970.9999,1767.0,1818.573,2504884.148335928,1377.38993614
1653955200000,2022-05-31 00:00:00,ETH/USDT,1999.4049,2015.77,1925.6001,1941.7172,2176168.1664470257,1120.7441364
1653868800000,2022-05-30 00:00:00,ETH/USDT,1814.0,2012.2885,1804.245,1998.6757,3090612.8448305493,1546.33032504
1653782400000,2022-05-29 00:00:00,ETH/USDT,1792.817,1827.741,1760.8974,1813.1935,2168085.369356008,1195.72752128
1653696000000,2022-05-28 00:00:00,ETH/USDT,1726.0,1808.1552,1723.2909,1792.5757,2303646.21906168,1285.10400931
1653609600000,2022-05-27 00:00:00,ETH/USDT,1792.8194,1821.667,1706.0004,1725.5335,3338539.285841021,1934.78671138
1653523200000,2022-05-26 00:00:00,ETH/USDT,1942.6419,1964.5267,1736.914,1791.1918,3521771.8465025136,1966.1612154
1653436800000,2022-05-25 00:00:00,ETH/USDT,1978.7512,2019.801,1935.2055,1942.996,2269032.0412160787,1167.80067546
1653350400000,2022-05-24 00:00:00,ETH/USDT,1973.5207,1993.2569,1915.0,1979.0628,2041521.8256845514,1031.55990082
1653264000000,2022-05-23 00:00:00,ETH/USDT,2042.7227,2088.3574,1958.5989,1973.1907,2482336.218461181,1258.03158228
1653177600000,2022-05-22 00:00:00,ETH/USDT,1974.9762,2054.701,1966.29,2042.966,1956882.376965508,957.86340887
1653091200000,2022-05-21 00:00:00,ETH/USDT,1959.6123,1990.3995,1938.6999,1975.1722,1900129.46299194,962.00699007
1653004800000,2022-05-20 00:00:00,ETH/USDT,2018.8654,2063.6331,1923.4778,1960.9059,2433942.8865944776,1241.23390449
1652918400000,2022-05-19 00:00:00,ETH/USDT,1915.7968,2039.1215,1902.8748,2019.3948,3050117.461352584,1510.4116646
1652832000000,2022-05-18 00:00:00,ETH/USDT,2090.8154,2109.2168,1911.5195,1914.5329,2375033.9434533785,1240.5291878
1652745600000,2022-05-17 00:00:00,ETH/USDT,2023.2253,2120.0,2008.5337,2090.9886,2631493.7506897836,1258.49263391
1652659200000,2022-05-16 00:00:00,ETH/USDT,2143.4977,2143.4977,1980.1,2020.7992,2627144.5677543036,1300.05226039
1652572800000,2022-05-15 00:00:00,ETH/USDT,2056.726,2162.1209,2003.54,2145.44,2344235.6867351313,1092.65963473
1652486400000,2022-05-14 00:00:00,ETH/USDT,2011.0891,2068.6321,1951.7497,2056.5037,2269221.08381742,1103.43642164
1652400000000,2022-05-13 00:00:00,ETH/USDT,1960.934,2145.6734,1942.0159,2009.6356,2955523.2529785433,1470.67620268
1652313600000,2022-05-12 00:00:00,ETH/USDT,2086.6083,2193.3162,1794.325,1960.8284,6226550.03093659,3175.46911853
1652227200000,2022-05-11 00:00:00,ETH/USDT,2342.6573,2447.7897,2005.1867,2085.0,6674998.3102725,3201.4380385
1652140800000,2022-05-10 00:00:00,ETH/USDT,2229.6793,2459.4127,2198.69,2343.3723,4141567.1281317193,1767.35345388
1652054400000,2022-05-09 00:00:00,ETH/USDT,2520.0967,2529.5453,2226.95,2233.3473,3786267.046789161,1695.33285163
1651968000000,2022-05-08 00:00:00,ETH/USDT,2635.8558,2640.7777,2486.251,2518.13,3041305.74998863,1207.76359838
1651881600000,2022-05-07 00:00:00,ETH/USDT,2692.8256,2701.1069,2590.0999,2636.829,2691513.85800942,1020.73887158
